"Drug Name","Active Ingredient","Application Number","Application Type","Supplement Date","Database Updated","Link"
"DAYTRANA","METHYLPHENIDATE","021514","NDA","10/13/2023","10/17/2023","https://www.accessdata.fda.gov/scripts/cder/safetylabelingchanges/index.cfm?event=searchdetail.page&DrugNameID=292"
"DAYVIGO","LEMBOREXANT","212028","NDA","04/20/2023","04/24/2023","https://www.accessdata.fda.gov/scripts/cder/safetylabelingchanges/index.cfm?event=searchdetail.page&DrugNameID=2317"
"DECADRON","DEXAMETHASONE","011664","NDA","05/08/2019","05/14/2019","https://www.accessdata.fda.gov/scripts/cder/safetylabelingchanges/index.cfm?event=searchdetail.page&DrugNameID=318"
"DECITABINE","DECITABINE","205582","NDA","09/16/2020","09/21/2020","https://www.accessdata.fda.gov/scripts/cder/safetylabelingchanges/index.cfm?event=searchdetail.page&DrugNameID=1953"
"DEFINITY","PERFLUTREN","021064","NDA","03/01/2024","03/04/2024","https://www.accessdata.fda.gov/scripts/cder/safetylabelingchanges/index.cfm?event=searchdetail.page&DrugNameID=804"
"DEFINITY RT","PERFLUTREN","021064","NDA","03/01/2024","03/04/2024","https://www.accessdata.fda.gov/scripts/cder/safetylabelingchanges/index.cfm?event=searchdetail.page&DrugNameID=2927"
"DELATESTRYL","TESTOSTERONE ENANTHATE","009165","NDA","10/25/2016","02/11/2016","https://www.accessdata.fda.gov/scripts/cder/safetylabelingchanges/index.cfm?event=searchdetail.page&DrugNameID=490"
"DELESTROGEN","ESTRADIOL VALERATE","009402","NDA","02/15/2024","02/20/2024","https://www.accessdata.fda.gov/scripts/cder/safetylabelingchanges/index.cfm?event=searchdetail.page&DrugNameID=1333"
"DELSTRIGO","DORAVIRINE; LAMIVUDINE; TENOFOVIR DISOPROXIL FUMARATE","210807","NDA","11/07/2024","11/08/2024","https://www.accessdata.fda.gov/scripts/cder/safetylabelingchanges/index.cfm?event=searchdetail.page&DrugNameID=2069"
"DELZICOL","MESALAMINE","204412","NDA","10/24/2023","10/27/2023","https://www.accessdata.fda.gov/scripts/cder/safetylabelingchanges/index.cfm?event=searchdetail.page&DrugNameID=1150"
"DEMADEX","TORSEMIDE","020136","NDA","02/03/2017","02/06/2017","https://www.accessdata.fda.gov/scripts/cder/safetylabelingchanges/index.cfm?event=searchdetail.page&DrugNameID=825"
"DEMEROL","MEPERIDINE HYDROCHLORIDE","005010","NDA","12/15/2023","12/19/2023","https://www.accessdata.fda.gov/scripts/cder/safetylabelingchanges/index.cfm?event=searchdetail.page&DrugNameID=680"
"DEMEROL","MEPERIDINE HYDROCHLORIDE","021171","NDA","12/15/2023","12/18/2023","https://www.accessdata.fda.gov/scripts/cder/safetylabelingchanges/index.cfm?event=searchdetail.page&DrugNameID=665"
"DENAVIR","PENCICLOVIR","020629","NDA","11/21/2018","11/23/2018","https://www.accessdata.fda.gov/scripts/cder/safetylabelingchanges/index.cfm?event=searchdetail.page&DrugNameID=1754"
"DEPACON","VALPROATE SODIUM","020593","NDA","05/19/2020","05/29/2020","https://www.accessdata.fda.gov/scripts/cder/safetylabelingchanges/index.cfm?event=searchdetail.page&DrugNameID=56"
"DEPAKENE","VALPROIC ACID","018081","NDA","05/19/2020","05/29/2020","https://www.accessdata.fda.gov/scripts/cder/safetylabelingchanges/index.cfm?event=searchdetail.page&DrugNameID=51"
"DEPAKENE","VALPROIC ACID","018082","NDA","05/19/2020","05/29/2020","https://www.accessdata.fda.gov/scripts/cder/safetylabelingchanges/index.cfm?event=searchdetail.page&DrugNameID=52"
"DEPAKOTE","DIVALPROEX SODIUM","018723","NDA","03/18/2024","03/22/2024","https://www.accessdata.fda.gov/scripts/cder/safetylabelingchanges/index.cfm?event=searchdetail.page&DrugNameID=53"
"DEPAKOTE","DIVALPROEX SODIUM","019680","NDA","03/18/2024","03/22/2024","https://www.accessdata.fda.gov/scripts/cder/safetylabelingchanges/index.cfm?event=searchdetail.page&DrugNameID=54"
"DEPAKOTE ER","DIVALPROEX SODIUM","021168","NDA","03/18/2024","03/22/2024","https://www.accessdata.fda.gov/scripts/cder/safetylabelingchanges/index.cfm?event=searchdetail.page&DrugNameID=55"
"DEPO-MEDROL","METHYLPREDNISOLONE ACETATE","011757","NDA","06/05/2024","06/06/2024","https://www.accessdata.fda.gov/scripts/cder/safetylabelingchanges/index.cfm?event=searchdetail.page&DrugNameID=396"
"DEPO-PROVERA","MEDROXYPROGESTERONE ACETATE","012541","NDA","04/03/2017","04/05/2017","https://www.accessdata.fda.gov/scripts/cder/safetylabelingchanges/index.cfm?event=searchdetail.page&DrugNameID=139"
"DEPO-PROVERA","MEDROXYPROGESTERONE ACETATE","020246","NDA","07/11/2024","07/16/2024","https://www.accessdata.fda.gov/scripts/cder/safetylabelingchanges/index.cfm?event=searchdetail.page&DrugNameID=621"
"DEPO-SUBQ PROVERA 104","MEDROXYPROGESTERONE ACETATE","021583","NDA","12/16/2024","12/17/2024","https://www.accessdata.fda.gov/scripts/cder/safetylabelingchanges/index.cfm?event=searchdetail.page&DrugNameID=471"
"DERMA-SMOOTHE/FS","FLUOCINOLONE ACETONIDE","019452","NDA","08/30/2024","09/05/2024","https://www.accessdata.fda.gov/scripts/cder/safetylabelingchanges/index.cfm?event=searchdetail.page&DrugNameID=3014"
"DERMOTIC","FLUOCINOLONE ACETONIDE","019452","NDA","08/30/2024","09/05/2024","https://www.accessdata.fda.gov/scripts/cder/safetylabelingchanges/index.cfm?event=searchdetail.page&DrugNameID=3015"
"DESCOVY","EMTRICITABINE; TENOFOVIR ALAFENAMIDE FUMARATE","208215","NDA","01/07/2022","01/12/2022","https://www.accessdata.fda.gov/scripts/cder/safetylabelingchanges/index.cfm?event=searchdetail.page&DrugNameID=999"
"DESMOPRESSIN ACETATE","DESMOPRESSIN ACETATE","021795","NDA","10/29/2019","11/01/2019","https://www.accessdata.fda.gov/scripts/cder/safetylabelingchanges/index.cfm?event=searchdetail.page&DrugNameID=2103"
"DESOGEN","DESOGESTREL; ETHINYL ESTRADIOL","020071","NDA","06/15/2018","06/21/2018","https://www.accessdata.fda.gov/scripts/cder/safetylabelingchanges/index.cfm?event=searchdetail.page&DrugNameID=1204"
"DESOXYN","METHAMPHETAMINE HYDROCHLORIDE","005378","NDA","09/24/2024","09/30/2024","https://www.accessdata.fda.gov/scripts/cder/safetylabelingchanges/index.cfm?event=searchdetail.page&DrugNameID=663"
"DESVENLAFAXINE","DESVENLAFAXINE","204150","NDA","08/18/2023","08/22/2023","https://www.accessdata.fda.gov/scripts/cder/safetylabelingchanges/index.cfm?event=searchdetail.page&DrugNameID=407"
"DESVENLAFAXINE","DESVENLAFAXINE FUMARATE","205583","NDA","08/18/2023","08/23/2023","https://www.accessdata.fda.gov/scripts/cder/safetylabelingchanges/index.cfm?event=searchdetail.page&DrugNameID=689"
"DESYREL","TRAZODONE HYDROCHLORIDE","018207","NDA","10/18/2018","10/19/2018","https://www.accessdata.fda.gov/scripts/cder/safetylabelingchanges/index.cfm?event=searchdetail.page&DrugNameID=1125"
"DETECTNET","COPPER DOTATATE CU-64","213227","NDA","12/22/2021","12/28/2021","https://www.accessdata.fda.gov/scripts/cder/safetylabelingchanges/index.cfm?event=searchdetail.page&DrugNameID=2571"
"DETROL LA","TOLTERODINE TARTRATE","021228","NDA","07/13/2018","07/19/2018","https://www.accessdata.fda.gov/scripts/cder/safetylabelingchanges/index.cfm?event=searchdetail.page&DrugNameID=1635"
"DEXEDRINE","DEXTROAMPHETAMINE SULFATE","017078","NDA","10/13/2023","10/17/2023","https://www.accessdata.fda.gov/scripts/cder/safetylabelingchanges/index.cfm?event=searchdetail.page&DrugNameID=763"
"DEXILANT","DEXLANSOPRAZOLE","022287","NDA","07/18/2023","07/21/2023","https://www.accessdata.fda.gov/scripts/cder/safetylabelingchanges/index.cfm?event=searchdetail.page&DrugNameID=517"
"DEXILANT SOLUTAB","DEXLANSOPRAZOLE","208056","NDA","10/24/2016","11/08/2016","https://www.accessdata.fda.gov/scripts/cder/safetylabelingchanges/index.cfm?event=searchdetail.page&DrugNameID=331"
"DEXMEDETOMIDINE HYDROCHLORIDE","DEXMEDETOMIDINE HYDROCHLORIDE","206628","NDA","03/21/2024","03/26/2024","https://www.accessdata.fda.gov/scripts/cder/safetylabelingchanges/index.cfm?event=searchdetail.page&DrugNameID=434"
"DEXTENZA","DEXAMETHASONE","208742","NDA","10/07/2021","10/18/2021","https://www.accessdata.fda.gov/scripts/cder/safetylabelingchanges/index.cfm?event=searchdetail.page&DrugNameID=1982"
"DEXTROSE 2.5% AND SODIUM CHLORIDE 0.45% IN PLASTIC CONTAINER","","016697","NDA","08/22/2019","08/26/2019","https://www.accessdata.fda.gov/scripts/cder/safetylabelingchanges/index.cfm?event=searchdetail.page&DrugNameID=2033"
"DEXTROSE 20% IN PLASTIC CONTAINER","","017521","NDA","03/14/2018","03/20/2018","https://www.accessdata.fda.gov/scripts/cder/safetylabelingchanges/index.cfm?event=searchdetail.page&DrugNameID=1483"
"DEXTROSE 20% IN PLASTIC CONTAINER","","018564","NDA","05/14/2018","05/18/2018","https://www.accessdata.fda.gov/scripts/cder/safetylabelingchanges/index.cfm?event=searchdetail.page&DrugNameID=1558"
"DEXTROSE 30% IN PLASTIC CONTAINER","","017521","NDA","03/14/2018","03/20/2018","https://www.accessdata.fda.gov/scripts/cder/safetylabelingchanges/index.cfm?event=searchdetail.page&DrugNameID=1484"
"DEXTROSE 30% IN PLASTIC CONTAINER","","019345","NDA","05/14/2018","05/18/2018","https://www.accessdata.fda.gov/scripts/cder/safetylabelingchanges/index.cfm?event=searchdetail.page&DrugNameID=1559"
"DEXTROSE 40% IN PLASTIC CONTAINER","","017521","NDA","03/14/2018","03/20/2018","https://www.accessdata.fda.gov/scripts/cder/safetylabelingchanges/index.cfm?event=searchdetail.page&DrugNameID=1485"
"DEXTROSE 40% IN PLASTIC CONTAINER","","018562","NDA","05/14/2018","05/18/2018","https://www.accessdata.fda.gov/scripts/cder/safetylabelingchanges/index.cfm?event=searchdetail.page&DrugNameID=1560"
"DEXTROSE 5% AND ELECTROLYTE NO. 48 IN PLASTIC CONTAINER","","017484","NDA","02/13/2020","03/02/2020","https://www.accessdata.fda.gov/scripts/cder/safetylabelingchanges/index.cfm?event=searchdetail.page&DrugNameID=2203"
"DEXTROSE 5% AND POTASSIUM CHLORIDE 0.3% IN PLASTIC CONTAINER","","017634","NDA","07/15/2019","07/17/2019","https://www.accessdata.fda.gov/scripts/cder/safetylabelingchanges/index.cfm?event=searchdetail.page&DrugNameID=1088"
"DEXTROSE 5% IN LACTATED RINGER'S IN PLASTIC CONTAINER","","019634","NDA","11/03/2021","11/08/2021","https://www.accessdata.fda.gov/scripts/cder/safetylabelingchanges/index.cfm?event=searchdetail.page&DrugNameID=2551"
"DEXTROSE 5% IN SODIUM CHLORIDE 0.2% IN PLASTIC CONTAINER","","016689","NDA","08/22/2019","08/26/2019","https://www.accessdata.fda.gov/scripts/cder/safetylabelingchanges/index.cfm?event=searchdetail.page&DrugNameID=2032"
"DEXTROSE 5% IN SODIUM CHLORIDE 0.33% IN PLASTIC CONTAINER","","016687","NDA","08/22/2019","08/26/2019","https://www.accessdata.fda.gov/scripts/cder/safetylabelingchanges/index.cfm?event=searchdetail.page&DrugNameID=2031"
"DEXTROSE 5% IN SODIUM CHLORIDE 0.45% IN PLASTIC CONTAINER","","016683","NDA","08/22/2019","08/26/2019","https://www.accessdata.fda.gov/scripts/cder/safetylabelingchanges/index.cfm?event=searchdetail.page&DrugNameID=2030"
"DEXTROSE 5% IN SODIUM CHLORIDE 0.9% IN PLASTIC CONTAINER","","016678","NDA","08/22/2019","08/26/2019","https://www.accessdata.fda.gov/scripts/cder/safetylabelingchanges/index.cfm?event=searchdetail.page&DrugNameID=2029"
"DEXTROSE 5%, SODIUM CHLORIDE 0.2% AND POTASSIUM CHLORIDE 10MEQ","","018037","NDA","02/21/2019","03/29/2019","https://www.accessdata.fda.gov/scripts/cder/safetylabelingchanges/index.cfm?event=searchdetail.page&DrugNameID=1904"
"DEXTROSE 5%, SODIUM CHLORIDE 0.33% AND POTASSIUM CHLORIDE 10MEQ IN PLASTIC CONTAINER","","018629","NDA","02/21/2019","03/08/2019","https://www.accessdata.fda.gov/scripts/cder/safetylabelingchanges/index.cfm?event=searchdetail.page&DrugNameID=1891"
"DEXTROSE 5%, SODIUM CHLORIDE 0.45% AND POTASSIUM CHLORIDE 15MEQ IN PLASTIC CONTAINER","","018008","NDA","02/21/2019","02/26/2019","https://www.accessdata.fda.gov/scripts/cder/safetylabelingchanges/index.cfm?event=searchdetail.page&DrugNameID=1878"
"DEXTROSE 50% IN PLASTIC CONTAINER","","017521","NDA","03/14/2018","03/20/2018","https://www.accessdata.fda.gov/scripts/cder/safetylabelingchanges/index.cfm?event=searchdetail.page&DrugNameID=1486"
"DEXTROSE 50% IN PLASTIC CONTAINER","","018563","NDA","05/14/2018","05/18/2018","https://www.accessdata.fda.gov/scripts/cder/safetylabelingchanges/index.cfm?event=searchdetail.page&DrugNameID=1561"
"DEXTROSE 60% IN PLASTIC CONTAINER","","017521","NDA","03/14/2018","03/20/2018","https://www.accessdata.fda.gov/scripts/cder/safetylabelingchanges/index.cfm?event=searchdetail.page&DrugNameID=1487"
"DEXTROSE 70% IN PLASTIC CONTAINER","","017521","NDA","03/14/2018","03/20/2018","https://www.accessdata.fda.gov/scripts/cder/safetylabelingchanges/index.cfm?event=searchdetail.page&DrugNameID=1488"
"DEXTROSE 70% IN PLASTIC CONTAINER","","018561","NDA","05/14/2018","05/18/2018","https://www.accessdata.fda.gov/scripts/cder/safetylabelingchanges/index.cfm?event=searchdetail.page&DrugNameID=1562"
"DHIVY","CARBIDOPA; LEVODOPA","214869","NDA","06/30/2022","07/05/2022","https://www.accessdata.fda.gov/scripts/cder/safetylabelingchanges/index.cfm?event=searchdetail.page&DrugNameID=2641"
"DIABETA","GLYBURIDE","017532","NDA","01/11/2017","01/12/2017","https://www.accessdata.fda.gov/scripts/cder/safetylabelingchanges/index.cfm?event=searchdetail.page&DrugNameID=774"
"DIACOMIT","STIRIPENTOL","206709","NDA","07/14/2022","07/15/2022","https://www.accessdata.fda.gov/scripts/cder/safetylabelingchanges/index.cfm?event=searchdetail.page&DrugNameID=2645"
"DIACOMIT","STIRIPENTOL","207223","NDA","07/14/2022","07/15/2022","https://www.accessdata.fda.gov/scripts/cder/safetylabelingchanges/index.cfm?event=searchdetail.page&DrugNameID=2646"
"DIANEAL 137 W/ DEXTROSE 1.5% IN PLASTIC CONTAINER","","017512","NDA","08/16/2016","01/09/2016","https://www.accessdata.fda.gov/scripts/cder/safetylabelingchanges/index.cfm?event=searchdetail.page&DrugNameID=380"
"DIANEAL LOW CALCIUM W/ DEXTROSE 1.5% IN PLASTIC CONTAINER","","020183","NDA","06/05/2023","06/13/2023","https://www.accessdata.fda.gov/scripts/cder/safetylabelingchanges/index.cfm?event=searchdetail.page&DrugNameID=275"
"DIANEAL PD-2 W/ DEXTROSE 2.5% IN PLASTIC CONTAINER","","020163","NDA","06/05/2023","06/13/2023","https://www.accessdata.fda.gov/scripts/cder/safetylabelingchanges/index.cfm?event=searchdetail.page&DrugNameID=274"
"DIASTAT","DIAZEPAM","020648","NDA","01/13/2023","01/18/2023","https://www.accessdata.fda.gov/scripts/cder/safetylabelingchanges/index.cfm?event=searchdetail.page&DrugNameID=611"
"DIASTAT ACUDIAL","DIAZEPAM","020648","NDA","01/13/2023","01/18/2023","https://www.accessdata.fda.gov/scripts/cder/safetylabelingchanges/index.cfm?event=searchdetail.page&DrugNameID=612"
"DIAZEPAM","DIAZEPAM","020124","NDA","01/13/2023","01/18/2023","https://www.accessdata.fda.gov/scripts/cder/safetylabelingchanges/index.cfm?event=searchdetail.page&DrugNameID=585"
"DICLEGIS","DOXYLAMINE SUCCINATE; PYRIDOXINE HYDROCHLORIDE","021876","NDA","06/18/2018","06/26/2018","https://www.accessdata.fda.gov/scripts/cder/safetylabelingchanges/index.cfm?event=searchdetail.page&DrugNameID=1604"
"DIDREX","BENZPHETAMINE HYDROCHLORIDE","012427","NDA","04/08/2020","04/14/2020","https://www.accessdata.fda.gov/scripts/cder/safetylabelingchanges/index.cfm?event=searchdetail.page&DrugNameID=2229"
"DIFFERIN","ADAPALENE","021753","NDA","12/27/2023","01/04/2024","https://www.accessdata.fda.gov/scripts/cder/safetylabelingchanges/index.cfm?event=searchdetail.page&DrugNameID=2658"
"DIFFERIN","ADAPALENE","022502","NDA","04/19/2023","04/24/2023","https://www.accessdata.fda.gov/scripts/cder/safetylabelingchanges/index.cfm?event=searchdetail.page&DrugNameID=2657"
"DIFICID","FIDAXOMICIN","201699","NDA","01/24/2020","02/04/2020","https://www.accessdata.fda.gov/scripts/cder/safetylabelingchanges/index.cfm?event=searchdetail.page&DrugNameID=1897"
"DIFLUCAN","FLUCONAZOLE","019949","NDA","02/12/2024","02/14/2024","https://www.accessdata.fda.gov/scripts/cder/safetylabelingchanges/index.cfm?event=searchdetail.page&DrugNameID=1428"
"DIFLUCAN","FLUCONAZOLE","020090","NDA","02/12/2024","02/15/2024","https://www.accessdata.fda.gov/scripts/cder/safetylabelingchanges/index.cfm?event=searchdetail.page&DrugNameID=1429"
"DIFLUCAN IN DEXTROSE 5% IN PLASTIC CONTAINER","","019950","NDA","02/12/2024","02/14/2024","https://www.accessdata.fda.gov/scripts/cder/safetylabelingchanges/index.cfm?event=searchdetail.page&DrugNameID=2204"
"DIFLUCAN IN SODIUM CHLORIDE 0.9%","","019950","NDA","02/12/2024","02/14/2024","https://www.accessdata.fda.gov/scripts/cder/safetylabelingchanges/index.cfm?event=searchdetail.page&DrugNameID=2205"
"DIFLUCAN IN SODIUM CHLORIDE 0.9% IN PLASTIC CONTAINER","","019950","NDA","02/12/2024","02/14/2024","https://www.accessdata.fda.gov/scripts/cder/safetylabelingchanges/index.cfm?event=searchdetail.page&DrugNameID=2206"
"DIGOXIN","DIGOXIN","021648","NDA","08/24/2018","08/28/2018","https://www.accessdata.fda.gov/scripts/cder/safetylabelingchanges/index.cfm?event=searchdetail.page&DrugNameID=575"
"DILANTIN","PHENYTOIN SODIUM","010151","NDA","10/31/2017","11/03/2017","https://www.accessdata.fda.gov/scripts/cder/safetylabelingchanges/index.cfm?event=searchdetail.page&DrugNameID=134"
"DILANTIN-125","PHENYTOIN","008762","NDA","03/03/2022","03/07/2022","https://www.accessdata.fda.gov/scripts/cder/safetylabelingchanges/index.cfm?event=searchdetail.page&DrugNameID=135"
"DILAUDID","HYDROMORPHONE HYDROCHLORIDE","019891","NDA","12/15/2023","12/18/2023","https://www.accessdata.fda.gov/scripts/cder/safetylabelingchanges/index.cfm?event=searchdetail.page&DrugNameID=657"
"DILAUDID","HYDROMORPHONE HYDROCHLORIDE","019892","NDA","12/15/2023","12/18/2023","https://www.accessdata.fda.gov/scripts/cder/safetylabelingchanges/index.cfm?event=searchdetail.page&DrugNameID=676"
"DILAUDID-HP","HYDROMORPHONE HYDROCHLORIDE","019034","NDA","12/15/2023","12/19/2023","https://www.accessdata.fda.gov/scripts/cder/safetylabelingchanges/index.cfm?event=searchdetail.page&DrugNameID=658"
"DIOVAN","VALSARTAN","020665","NDA","02/03/2017","02/06/2017","https://www.accessdata.fda.gov/scripts/cder/safetylabelingchanges/index.cfm?event=searchdetail.page&DrugNameID=824"
"DIOVAN","VALSARTAN","021283","NDA","04/19/2021","04/26/2021","https://www.accessdata.fda.gov/scripts/cder/safetylabelingchanges/index.cfm?event=searchdetail.page&DrugNameID=823"
"DIOVAN HCT","HYDROCHLOROTHIAZIDE; VALSARTAN","020818","NDA","08/20/2020","08/27/2020","https://www.accessdata.fda.gov/scripts/cder/safetylabelingchanges/index.cfm?event=searchdetail.page&DrugNameID=1973"
"DIPENTUM","OLSALAZINE SODIUM","019715","NDA","07/30/2024","08/02/2024","https://www.accessdata.fda.gov/scripts/cder/safetylabelingchanges/index.cfm?event=searchdetail.page&DrugNameID=2343"
"DIPRIVAN","PROPOFOL","019627","NDA","08/31/2022","09/01/2022","https://www.accessdata.fda.gov/scripts/cder/safetylabelingchanges/index.cfm?event=searchdetail.page&DrugNameID=1032"
"DIPROLENE","BETAMETHASONE DIPROPIONATE","018741","NDA","05/01/2019","05/02/2019","https://www.accessdata.fda.gov/scripts/cder/safetylabelingchanges/index.cfm?event=searchdetail.page&DrugNameID=1504"
"DIPROLENE","BETAMETHASONE DIPROPIONATE","019716","NDA","05/01/2019","05/02/2019","https://www.accessdata.fda.gov/scripts/cder/safetylabelingchanges/index.cfm?event=searchdetail.page&DrugNameID=1514"
"DIPROLENE AF","BETAMETHASONE DIPROPIONATE","019555","NDA","05/01/2019","05/02/2019","https://www.accessdata.fda.gov/scripts/cder/safetylabelingchanges/index.cfm?event=searchdetail.page&DrugNameID=1505"
"DITROPAN XL","OXYBUTYNIN CHLORIDE","020897","NDA","03/29/2021","03/31/2021","https://www.accessdata.fda.gov/scripts/cder/safetylabelingchanges/index.cfm?event=searchdetail.page&DrugNameID=412"
"DIVIGEL","ESTRADIOL","022038","NDA","02/15/2024","02/20/2024","https://www.accessdata.fda.gov/scripts/cder/safetylabelingchanges/index.cfm?event=searchdetail.page&DrugNameID=1335"
"DOBUTAMINE HYDROCHLORIDE IN DEXTROSE 5% IN PLASTIC CONTAINER","","020201","NDA","06/12/2024","06/14/2024","https://www.accessdata.fda.gov/scripts/cder/safetylabelingchanges/index.cfm?event=searchdetail.page&DrugNameID=217"
"DOBUTAMINE HYDROCHLORIDE IN DEXTROSE 5% IN PLASTIC CONTAINER","","020255","NDA","03/27/2019","04/09/2019","https://www.accessdata.fda.gov/scripts/cder/safetylabelingchanges/index.cfm?event=searchdetail.page&DrugNameID=1912"
"DOCEFREZ","DOCETAXEL","022534","NDA","08/22/2023","08/28/2023","https://www.accessdata.fda.gov/scripts/cder/safetylabelingchanges/index.cfm?event=searchdetail.page&DrugNameID=1831"
"DOCETAXEL","DOCETAXEL","022234","NDA","05/15/2023","05/17/2023","https://www.accessdata.fda.gov/scripts/cder/safetylabelingchanges/index.cfm?event=searchdetail.page&DrugNameID=1287"
"DOCETAXEL","DOCETAXEL","201195","NDA","09/20/2023","09/25/2023","https://www.accessdata.fda.gov/scripts/cder/safetylabelingchanges/index.cfm?event=searchdetail.page&DrugNameID=319"
"DOCETAXEL","DOCETAXEL","201525","NDA","09/21/2023","09/26/2023","https://www.accessdata.fda.gov/scripts/cder/safetylabelingchanges/index.cfm?event=searchdetail.page&DrugNameID=513"
"DOCETAXEL","DOCETAXEL","202356","NDA","09/24/2018","10/04/2018","https://www.accessdata.fda.gov/scripts/cder/safetylabelingchanges/index.cfm?event=searchdetail.page&DrugNameID=1380"
"DOCETAXEL","DOCETAXEL","203551","NDA","08/26/2024","08/30/2024","https://www.accessdata.fda.gov/scripts/cder/safetylabelingchanges/index.cfm?event=searchdetail.page&DrugNameID=1524"
"DOCETAXEL","DOCETAXEL","205934","NDA","07/05/2023","07/07/2023","https://www.accessdata.fda.gov/scripts/cder/safetylabelingchanges/index.cfm?event=searchdetail.page&DrugNameID=2198"
"DOCETAXEL","DOCETAXEL","215813","NDA","04/11/2024","04/16/2024","https://www.accessdata.fda.gov/scripts/cder/safetylabelingchanges/index.cfm?event=searchdetail.page&DrugNameID=2941"
"DOJOLVI","TRIHEPTANOIN","213687","NDA","10/30/2023","11/01/2023","https://www.accessdata.fda.gov/scripts/cder/safetylabelingchanges/index.cfm?event=searchdetail.page&DrugNameID=2872"
"DOLOPHINE HYDROCHLORIDE","METHADONE HYDROCHLORIDE","006134","NDA","06/02/2021","06/03/2021","https://www.accessdata.fda.gov/scripts/cder/safetylabelingchanges/index.cfm?event=searchdetail.page&DrugNameID=779"
"DOPAMINE HYDROCHLORIDE IN DEXTROSE 5% IN PLASTIC CONTAINER","","019615","NDA","07/21/2017","07/25/2017","https://www.accessdata.fda.gov/scripts/cder/safetylabelingchanges/index.cfm?event=searchdetail.page&DrugNameID=1144"
"DOPTELET","AVATROMBOPAG MALEATE","210238","NDA","07/18/2024","07/22/2024","https://www.accessdata.fda.gov/scripts/cder/safetylabelingchanges/index.cfm?event=searchdetail.page&DrugNameID=1900"
"DORAL","QUAZEPAM","018708","NDA","01/13/2023","01/19/2023","https://www.accessdata.fda.gov/scripts/cder/safetylabelingchanges/index.cfm?event=searchdetail.page&DrugNameID=606"
"DORYX","DOXYCYCLINE HYCLATE","050582","NDA","02/07/2018","02/09/2018","https://www.accessdata.fda.gov/scripts/cder/safetylabelingchanges/index.cfm?event=searchdetail.page&DrugNameID=1450"
"DORYX","DOXYCYCLINE HYCLATE","050795","NDA","07/25/2022","07/28/2022","https://www.accessdata.fda.gov/scripts/cder/safetylabelingchanges/index.cfm?event=searchdetail.page&DrugNameID=371"
"DORYX MPC","DOXYCYCLINE HYCLATE","050795","NDA","07/25/2022","07/28/2022","https://www.accessdata.fda.gov/scripts/cder/safetylabelingchanges/index.cfm?event=searchdetail.page&DrugNameID=2197"
"DOSTINEX","CABERGOLINE","020664","NDA","12/13/2019","12/16/2019","https://www.accessdata.fda.gov/scripts/cder/safetylabelingchanges/index.cfm?event=searchdetail.page&DrugNameID=2137"
"DOTAREM","GADOTERATE MEGLUMINE","204781","NDA","07/23/2024","07/24/2024","https://www.accessdata.fda.gov/scripts/cder/safetylabelingchanges/index.cfm?event=searchdetail.page&DrugNameID=1241"
"DOVATO","DOLUTEGRAVIR SODIUM; LAMIVUDINE","211994","NDA","04/18/2024","04/23/2024","https://www.accessdata.fda.gov/scripts/cder/safetylabelingchanges/index.cfm?event=searchdetail.page&DrugNameID=2094"
"DOXERCALCIFEROL","DOXERCALCIFEROL","208614","NDA","08/28/2019","09/03/2019","https://www.accessdata.fda.gov/scripts/cder/safetylabelingchanges/index.cfm?event=searchdetail.page&DrugNameID=2038"
"DOXIL (LIPOSOMAL)","DOXORUBICIN HYDROCHLORIDE","050718","NDA","08/12/2019","08/15/2019","https://www.accessdata.fda.gov/scripts/cder/safetylabelingchanges/index.cfm?event=searchdetail.page&DrugNameID=2019"
"DOXORUBICIN HYDROCHLORIDE","DOXORUBICIN HYDROCHLORIDE","050467","NDA","12/20/2019","01/08/2020","https://www.accessdata.fda.gov/scripts/cder/safetylabelingchanges/index.cfm?event=searchdetail.page&DrugNameID=2018"
"DOXORUBICIN HYDROCHLORIDE","DOXORUBICIN HYDROCHLORIDE","050629","NDA","12/20/2019","01/06/2020","https://www.accessdata.fda.gov/scripts/cder/safetylabelingchanges/index.cfm?event=searchdetail.page&DrugNameID=2017"
"DRAXIMAGE DTPA","TECHNETIUM TC-99M PENTETATE KIT","018511","NDA","06/07/2023","07/13/2023","https://www.accessdata.fda.gov/scripts/cder/safetylabelingchanges/index.cfm?event=searchdetail.page&DrugNameID=2815"
"DRIZALMA SPRINKLE","DULOXETINE HYDROCHLORIDE","212516","NDA","08/18/2023","08/23/2023","https://www.accessdata.fda.gov/scripts/cder/safetylabelingchanges/index.cfm?event=searchdetail.page&DrugNameID=2280"
"DROXIA","HYDROXYUREA","016295","NDA","11/28/2023","12/01/2023","https://www.accessdata.fda.gov/scripts/cder/safetylabelingchanges/index.cfm?event=searchdetail.page&DrugNameID=83"
"DSUVIA","SUFENTANIL CITRATE","209128","NDA","12/15/2023","12/19/2023","https://www.accessdata.fda.gov/scripts/cder/safetylabelingchanges/index.cfm?event=searchdetail.page&DrugNameID=2083"
"DTPA","TECHNETIUM TC-99M PENTETATE KIT","018511","NDA","12/26/2017","12/29/2017","https://www.accessdata.fda.gov/scripts/cder/safetylabelingchanges/index.cfm?event=searchdetail.page&DrugNameID=1416"
