Drug,Application Number,Date,Boxed Warning,Contraindications,Warnings and Precautions,Adverse Reactions,Drug Interactions,Use in Specific Populations,PCI/PI/MG
DYANAVEL XR(NDA-208147),208147,10/13/2023,x,,x,x,,,x
DYANAVEL XR(NDA-208147),208147,02/25/2022,,,x,x,,x,x
DYANAVEL XR(NDA-208147),208147,02/05/2019,,,,x,,x,x
DYANAVEL XR(NDA-208147),208147,05/12/2017,,,,,,,x
DYANAVEL XR(NDA-208147),208147,01/04/2017,,x,x,x,,,x
DYANAVEL XR 10(NDA-210526),210526,10/13/2023,x,,x,x,,,x
DYANAVEL XR 10(NDA-210526),210526,02/25/2022,,,x,x,,x,x
DYANAVEL XR 15(NDA-210526),210526,10/13/2023,x,,x,x,,,x
DYANAVEL XR 15(NDA-210526),210526,02/25/2022,,,x,x,,x,x
DYANAVEL XR 20(NDA-210526),210526,10/13/2023,x,,x,x,,,x
DYANAVEL XR 20(NDA-210526),210526,02/25/2022,,,x,,,x,x
DYANAVEL XR 5(NDA-210526),210526,10/13/2023,x,,x,x,,,x
DYANAVEL XR 5(NDA-210526),210526,02/25/2022,,,x,x,,x,x
DYAZIDE(NDA-016042),016042,08/20/2020,,,x,x,,,
DYLOJECT(NDA-022396),022396,05/09/2016,x,,x,,,,x
DYMISTA(NDA-202236),202236,12/17/2024,,x,,,,,x
DYMISTA(NDA-202236),202236,04/16/2021,,,,x,,,
DYMISTA(NDA-202236),202236,09/06/2018,,,x,,,x,x
DYNA-HEX(NDA-020111),020111,11/20/2017,,,x,,,,
DYSPORT(BLA-125274),125274,09/21/2023,,,x,x,,,x
DYSPORT(BLA-125274),125274,09/25/2019,,,,x,x,x,x
DYSPORT(BLA-125274),125274,11/05/2018,,,x,x,,,x
DYSPORT(BLA-125274),125274,06/14/2017,,x,x,x,,x,x
DYSPORT(BLA-125274),125274,12/09/2016,,,,x,,,
DYSPORT(BLA-125274),125274,07/29/2016,,,,x,,x,x
E-Z-HD(NDA-208036),208036,04/30/2019,,x,x,,,x,
E-Z-HD(NDA-208036),208036,04/07/2017,,,,,,x,
E-Z-HD(NDA-208036),208036,02/08/2017,,,x,,,x,
E-Z-HD(NDA-208036),208036,01/03/2017,,x,x,,,x,x
E.E.S.(NDA-050207),050207,04/23/2018,,x,x,,x,,
EC-NAPROSYN(NDA-020067),020067,11/21/2024,,,x,,,,
EC-NAPROSYN(NDA-020067),020067,04/28/2021,,,x,,,x,x
EC-NAPROSYN(NDA-020067),020067,07/22/2019,,,,,x,,
EC-NAPROSYN(NDA-020067),020067,03/10/2017,,,,,,,
EC-NAPROSYN(NDA-020067),020067,05/09/2016,x,,x,,,,x
ECOZA(NDA-205175),205175,11/18/2019,,,,x,,x,
EDARBI(NDA-200796),200796,01/16/2024,,,,,,x,
EDARBI(NDA-200796),200796,10/24/2016,,x,,,,,x
EDARBYCLOR(NDA-202331),202331,03/09/2020,,,x,x,,x,
EDARBYCLOR(NDA-202331),202331,10/24/2016,,x,,x,,,
EDLUAR(NDA-021997),021997,08/18/2019,x,x,x,x,x,,x
EDLUAR(NDA-021997),021997,02/06/2019,,,x,,,,x
EDLUAR(NDA-021997),021997,10/24/2018,,,,,,x,x
EDURANT(NDA-202022),202022,03/15/2024,,,x,x,x,x,x
EDURANT(NDA-202022),202022,03/15/2024,,,x,x,x,x,x
EDURANT(NDA-202022),202022,03/29/2022,,,,x,,x,x
EDURANT(NDA-202022),202022,03/29/2022,,,,x,,x,x
EDURANT(NDA-202022),202022,01/31/2022,,,,x,,x,
EDURANT(NDA-202022),202022,01/21/2021,,,,x,x,x,x
EDURANT(NDA-202022),202022,05/14/2019,,,x,,x,,
EDURANT(NDA-202022),202022,02/01/2018,,x,x,,x,x,x
EDURANT(NDA-202022),202022,09/15/2017,,,,,x,,
EFFEXOR XR(NDA-020699),020699,08/18/2023,,,x,x,,x,x
EFFEXOR XR(NDA-020699),020699,08/15/2022,x,x,x,x,x,x,x
EFFEXOR XR(NDA-020699),020699,11/10/2021,,,x,,,,x
EFFEXOR XR(NDA-020699),020699,09/20/2021,,,x,x,,,x
EFFEXOR XR(NDA-020699),020699,12/19/2017,,,,x,,,
EFFEXOR XR(NDA-020699),020699,12/19/2017,,,,x,,,
EFFEXOR XR(NDA-020699),020699,01/04/2017,,,x,,,,x
EFFEXOR XR(NDA-020699),020699,02/29/2016,,,,x,,,
EFFIENT(NDA-022307),022307,12/22/2020,,,,,,,x
EFFIENT(NDA-022307),022307,03/28/2019,,,,,,,x
EFFIENT(NDA-022307),022307,03/09/2018,,,,,x,,
EFFIENT(NDA-022307),022307,07/12/2016,,,,x,,x,
EFUDEX(NDA-016831),016831,10/14/2021,,,x,,,,
EGATEN(NDA-208711),208711,02/17/2022,,,x,x,,,x
ELAHERE(BLA-761310),761310,03/22/2024,,,x,x,,x,x
ELAPRASE(BLA-125151),125151,11/16/2018,,,,,,x,
ELELYSO(BLA-022458),022458,07/10/2024,x,,x,,,,x
ELELYSO(BLA-022458),022458,05/09/2023,,,x,x,,x,
ELELYSO(BLA-022458),022458,10/21/2019,,,,x,,,
ELELYSO(BLA-022458),022458,12/20/2016,,,,x,,,
ELELYSO(BLA-022458),022458,06/15/2016,,,,x,,,
ELEPSIA XR(NDA-204417),204417,03/12/2024,,,x,x,,,x
ELEPSIA XR(NDA-204417),204417,12/17/2020,,,,x,,x,x
ELESTRIN(NDA-021813),021813,02/15/2024,,,x,,,,
ELESTRIN(NDA-021813),021813,10/27/2020,,x,x,,,x,x
ELESTRIN(NDA-021813),021813,10/27/2020,x,x,x,,,x,x
ELESTRIN(NDA-021813),021813,11/01/2017,,,x,,,,x
ELIGARD(NDA-021343),021343,02/15/2019,,,x,x,,x,x
ELIGARD(NDA-021379),021379,02/15/2019,,,x,x,,x,x
ELIGARD(NDA-021488),021488,02/15/2019,,,x,x,,x,x
ELIGARD(NDA-021731),021731,02/15/2019,,,x,x,,x,x
ELIGARD KIT(NDA-021343),021343,07/20/2023,,,x,x,,x,
ELIGARD KIT(NDA-021343),021343,07/20/2023,,,x,x,,x,
ELIQUIS(NDA-202155),202155,10/12/2021,,,,,,,x
ELIQUIS(NDA-202155),202155,04/20/2021,,,,,,x,
ELIQUIS(NDA-202155),202155,11/26/2019,,,x,x,x,x,x
ELIQUIS(NDA-202155),202155,06/03/2019,,,,,,x,
ELIQUIS(NDA-202155),202155,06/28/2018,,,x,,,,
ELIQUIS(NDA-202155),202155,02/09/2018,,,,,x,x,
ELIQUIS(NDA-202155),202155,07/20/2016,,,x,,,x,x
ELITEK(BLA-103946),103946,12/12/2019,,,,,,x,x
ELITEK(BLA-103946),103946,06/13/2016,x,,x,x,x,,x
ELLA(NDA-022474),022474,06/24/2021,,,x,x,x,x,x
ELLA(NDA-022474),022474,05/01/2018,,,,,,x,x
ELLENCE(NDA-050778),050778,07/26/2019,x,x,x,x,x,x,x
ELLENCE(NDA-050778),050778,07/26/2019,x,x,x,x,,x,x
ELMIRON(NDA-020193),020193,03/12/2021,,,,,,,x
ELMIRON(NDA-020193),020193,06/16/2020,,,x,x,,,x
ELOCON(NDA-019543),019543,05/21/2018,,x,x,x,,,x
ELOCON(NDA-019625),019625,05/21/2018,,x,x,x,,,x
ELOCON(NDA-019796),019796,05/21/2018,,x,x,x,,,x
ELOXATIN(NDA-021759),021759,06/23/2023,,,,x,,,x
ELOXATIN(NDA-021759),021759,04/06/2020,,,,,,,
ELUCIREM(NDA-216986),216986,07/23/2024,,,,x,,,
ELUCIREM(NDA-216986),216986,01/26/2024,x,,x,,,,x
ELYXYB(NDA-212157),212157,11/21/2024,,,x,x,,,
ELYXYB(NDA-212157),212157,04/28/2021,,,x,x,,x,x
ELZONRIS(BLA-761116),761116,07/26/2023,,,,x,,x,
ELZONRIS(BLA-761116),761116,10/27/2022,,,x,x,,x,
EMBEDA(NDA-022321),022321,10/07/2019,,,x,,x,,x
EMBEDA(NDA-022321),022321,09/18/2018,x,,x,,,,
EMBEDA(NDA-022321),022321,12/16/2016,x,x,x,x,x,x,x
EMEND(NDA-021549),021549,11/14/2019,,,,,x,,
EMEND(NDA-021549),021549,09/25/2019,,,,x,x,,x
EMEND(NDA-021549),021549,05/31/2017,,,x,x,,x,x
EMEND(NDA-022023),022023,05/02/2022,,,,x,,x,x
EMEND(NDA-022023),022023,11/14/2019,,,,,x,,
EMEND(NDA-022023),022023,04/03/2018,,,,x,,,x
EMEND(NDA-022023),022023,03/26/2018,,,x,,,,x
EMEND(NDA-022023),022023,08/09/2017,,,x,x,,,x
EMEND(NDA-022023),022023,05/31/2017,,,,,,,x
EMEND(NDA-207865),207865,11/14/2019,,,,,x,,
EMEND(NDA-207865),207865,09/25/2019,,,,x,x,,x
EMEND(NDA-207865),207865,05/31/2017,,,x,x,,x,x
EMERPHED(NDA-213407),213407,08/15/2024,,,,,x,x,
EMFLAZA(NDA-208684),208684,06/05/2024,,,x,,,,
EMFLAZA(NDA-208684),208684,07/10/2020,,,,,,,x
EMFLAZA(NDA-208684),208684,06/07/2019,,,x,x,,x,x
EMFLAZA(NDA-208685),208685,06/05/2024,,,x,,,,
EMFLAZA(NDA-208685),208685,07/10/2020,x,,,,,,
EMFLAZA(NDA-208685),208685,06/07/2019,,,x,x,,x,x
EMGALITY(BLA-761063),761063,05/24/2022,,,,,,x,x
EMGALITY(BLA-761063),761063,12/05/2019,,,x,x,,,
EMGALITY(BLA-761063),761063,06/04/2019,,,,x,,x,x
EMLA(NDA-019941),019941,11/02/2018,,,x,,x,,x
EMPLICITI(BLA-761035),761035,03/22/2022,,,,x,,,
EMPLICITI(BLA-761035),761035,11/06/2018,,,x,x,x,x,x
EMPLICITI(BLA-761035),761035,05/11/2017,,,,,x,x,
EMSAM(NDA-021336),021336,07/14/2017,,,x,x,,x,x
EMTRIVA(NDA-021500),021500,12/10/2018,x,,x,x,,x,x
EMTRIVA(NDA-021500),021500,04/07/2017,,,x,,,,x
EMTRIVA(NDA-021896),021896,12/10/2018,x,,x,x,,x,x
EMTRIVA(NDA-021896),021896,04/07/2017,,,x,,,,x
ENABLEX(NDA-021513),021513,07/14/2021,,,,,,x,
ENBREL(BLA-103795),103795,09/12/2024,,,,x,,,
ENBREL(BLA-103795),103795,07/22/2024,,,,,,x,
ENBREL(BLA-103795),103795,10/18/2023,x,x,x,,,x,x
ENBREL(BLA-103795),103795,02/26/2021,,,x,x,,,
ENBREL(BLA-103795),103795,10/03/2018,,,,,,,
ENBREL(BLA-103795),103795,09/14/2017,,,x,,,,x
ENBREL(BLA-103795),103795,07/11/2017,,,,,,x,
ENBREL(BLA-103795),103795,11/04/2016,,,x,x,,x,x
ENDARI(NDA-208587),208587,04/22/2020,,,,,,,x
ENHERTU(BLA-761139),761139,02/15/2024,,,x,x,,x,
ENHERTU(BLA-761139),761139,08/05/2022,,,x,x,,x,x
ENHERTU(BLA-761139),761139,05/04/2022,,,x,x,,x,x
ENHERTU(BLA-761139),761139,01/15/2021,,,x,x,,x,x
ENJAYMO(BLA-761164),761164,02/08/2024,,,x,,,,x
ENJAYMO(BLA-761164),761164,01/25/2023,,,x,x,,x,x
ENJUVIA(NDA-021443),021443,02/15/2024,,,x,,,,
ENJUVIA(NDA-021443),021443,11/30/2020,x,x,x,,,x,x
ENJUVIA(NDA-021443),021443,11/30/2020,x,x,x,,,x,x
ENJUVIA(NDA-021443),021443,11/01/2017,,,x,,,,
ENSPRYNG(BLA-761149),761149,09/14/2022,,,,,,x,x
ENSPRYNG(BLA-761149),761149,05/03/2021,,,,x,,,
ENSTILAR(NDA-207589),207589,10/16/2020,,,x,x,,,x
ENSTILAR(NDA-207589),207589,07/30/2019,,,x,x,,x,x
ENSTILAR(NDA-207589),207589,07/30/2019,,,x,x,,x,x
ENSTILAR(NDA-207589),207589,07/30/2019,,,,,,x,
ENTEREG(NDA-021775),021775,11/17/2020,x,,x,x,,,x
ENTEREG(NDA-021775),021775,10/10/2019,,,x,,x,x,
ENTOCORT EC(NDA-021324),021324,06/05/2024,,,x,x,,,x
ENTOCORT EC(NDA-021324),021324,07/15/2020,,,,,,,
ENTOCORT EC(NDA-021324),021324,01/18/2019,,,,,,x,x
ENTOCORT EC(NDA-021324),021324,10/17/2017,,,,,,x,
ENTRESTO(NDA-207620),207620,04/12/2024,,,,,,x,x
ENTRESTO(NDA-207620),207620,02/16/2021,,,,x,,x,x
ENTRESTO(NDA-207620),207620,10/02/2019,,,,x,,x,
ENTRESTO(NDA-207620),207620,11/22/2017,,,x,x,,,x
ENTYVIO(BLA-125476),125476,03/14/2024,,,,,x,,
ENTYVIO(BLA-125476),125476,02/23/2024,,,x,x,,x,x
ENTYVIO(BLA-125476),125476,09/28/2023,,,,x,x,x,x
ENTYVIO(BLA-125476),125476,08/17/2021,,,,x,,x,
ENTYVIO(BLA-125476),125476,03/31/2020,,,x,x,,,x
ENTYVIO(BLA-125476),125476,03/31/2020,,,x,x,,,x
ENTYVIO(BLA-125476),125476,05/07/2019,,,,,,x,x
ENTYVIO(BLA-761133),761133,03/14/2024,,,,,x,,
ENTYVIO(BLA-761133),761133,02/23/2024,,,x,x,,x,x
ENVARSUS XR(NDA-206406),206406,04/08/2024,,x,x,x,x,,x
ENVARSUS XR(NDA-206406),206406,09/14/2023,,,x,,x,,
ENVARSUS XR(NDA-206406),206406,09/16/2020,,,,x,x,,
ENVARSUS XR(NDA-206406),206406,12/19/2018,,,x,x,,x,x
ENVARSUS XR(NDA-206406),206406,06/22/2016,,,,,,x,
EOVIST(NDA-022090),022090,07/23/2024,,,,x,,,
EOVIST(NDA-022090),022090,01/30/2024,x,,x,,,,x
EOVIST(NDA-022090),022090,04/26/2018,,,x,x,,x,x
EPANED(NDA-208686),208686,07/28/2017,,x,x,,x,,
EPANED KIT(NDA-204308),204308,07/28/2017,,x,x,,x,,
EPANED KIT(NDA-204308),204308,03/22/2017,,,x,x,,x,x
EPANED KIT(NDA-204308),204308,01/29/2016,,,x,,x,,
EPANOVA(NDA-205060),205060,03/09/2017,,,,,,x,x
EPANOVA(NDA-205060),205060,10/07/2016,,,,x,,x,x
EPCLUSA(NDA-208341),208341,04/27/2022,,,,x,x,x,
EPCLUSA(NDA-208341),208341,06/10/2021,,,,x,,x,x
EPCLUSA(NDA-208341),208341,07/14/2020,,,,x,,x,
EPCLUSA(NDA-208341),208341,03/19/2020,,,,x,x,x,x
EPCLUSA(NDA-208341),208341,11/15/2019,,,,x,,x,
EPCLUSA(NDA-208341),208341,09/19/2019,,,,,x,,
EPCLUSA(NDA-208341),208341,11/09/2017,,,,,x,,
EPCLUSA(NDA-208341),208341,08/31/2017,,,,,,,x
EPCLUSA(NDA-208341),208341,08/01/2017,,,x,x,,,
EPCLUSA(NDA-208341),208341,02/14/2017,x,,x,,,,x
EPCLUSA(NDA-214187),214187,04/27/2022,,,,x,x,x,
EPHEDRINE SULFATE(NDA-208609),208609,06/10/2024,,,,,,x,
EPIDIOLEX(NDA-210365),210365,03/04/2024,,,x,,,x,x
EPIDIOLEX(NDA-210365),210365,02/24/2022,,,,,,,x
EPIDIOLEX(NDA-210365),210365,09/30/2021,,,,x,x,,
EPIDIOLEX(NDA-210365),210365,09/30/2021,,,,x,x,,
EPIDIOLEX(NDA-210365),210365,10/22/2020,,,,,x,,
EPIDIOLEX(NDA-210365),210365,07/31/2020,,,x,x,x,x,x
EPIDIOLEX(NDA-210365),210365,07/31/2020,,,x,x,x,x,x
EPIDIOLEX(NDA-210365),210365,07/31/2020,,,x,x,x,x,x
EPIDUO FORTE(NDA-207917),207917,04/27/2022,,x,x,x,,x,x
EPIDUO FORTE(NDA-207917),207917,04/27/2022,,x,x,x,,x,x
EPINEPHRINE(NDA-205029),205029,09/10/2021,,,,,,x,
EPINEPHRINE(NDA-205029),205029,05/18/2016,,,x,x,,,
EPIPEN(NDA-019430),019430,02/10/2023,,,,,,,x
EPIPEN(NDA-019430),019430,12/24/2020,,,,x,x,,x
EPIPEN(NDA-019430),019430,06/17/2020,,,,,,,x
EPIPEN(NDA-019430),019430,08/23/2018,,,,,,x,x
EPIPEN(NDA-019430),019430,04/28/2017,,,,x,,,
EPIPEN(NDA-019430),019430,05/18/2016,,,x,x,,,
EPIVIR(NDA-020564),020564,04/27/2018,,,x,,,x,
EPIVIR(NDA-020564),020564,07/20/2016,,,x,,,x,x
EPIVIR(NDA-020596),020596,04/27/2018,,,x,,,x,
EPIVIR(NDA-020596),020596,07/20/2016,,,x,,,x,x
EPIVIR-HBV(NDA-021003),021003,12/22/2021,,,,,,x,x
EPIVIR-HBV(NDA-021003),021003,11/15/2018,,,x,,,,
EPIVIR-HBV(NDA-021003),021003,09/27/2017,x,,,,x,x,x
EPIVIR-HBV(NDA-021003),021003,05/08/2017,,,x,x,,x,x
EPIVIR-HBV(NDA-021004),021004,12/22/2021,,,,,,x,x
EPIVIR-HBV(NDA-021004),021004,11/15/2018,,,x,,,,
EPIVIR-HBV(NDA-021004),021004,09/27/2017,x,,,,x,x,x
EPIVIR-HBV(NDA-021004),021004,05/08/2017,,,x,x,,x,x
EPOGEN/PROCRIT(BLA-103234),103234,07/25/2018,,,x,,,,
EPOGEN/PROCRIT(BLA-103234),103234,09/29/2017,,,x,x,,,x
EPOGEN/PROCRIT(BLA-103234),103234,09/29/2017,,x,x,,,x,x
EPOGEN/PROCRIT(BLA-103234),103234,04/13/2017,,,x,x,,,x
EPRONTIA(NDA-214679),214679,05/17/2024,,,x,,x,x,x
EPRONTIA(NDA-214679),214679,10/26/2022,,,x,x,,x,x
EPYSQLI(BLA-761340),761340,11/15/2024,,,,x,x,x,x
EPZICOM(NDA-021652),021652,12/10/2021,,,,,,x,
EPZICOM(NDA-021652),021652,02/17/2021,,,,,x,x,x
EPZICOM(NDA-021652),021652,04/27/2018,,,x,,x,,x
EPZICOM(NDA-021652),021652,03/20/2017,x,,,,,x,x
EQUAGESIC(NDA-011702),011702,11/21/2024,,,x,x,,,
EQUAGESIC(NDA-011702),011702,04/28/2021,,,x,,,x,
EQUETRO(NDA-021710),021710,10/14/2022,,,x,,x,x,x
EQUETRO(NDA-021710),021710,09/23/2016,,x,x,x,x,x,x
EQUETRO(NDA-021710),021710,09/23/2016,,x,x,x,x,x,x
ERAXIS(NDA-021632),021632,09/22/2020,,x,x,x,,x,x
ERAXIS(NDA-021632),021632,09/22/2020,,x,x,x,,x,x
ERAXIS(NDA-021632),021632,08/17/2017,,,,,,x,
ERBITUX(BLA-125084),125084,09/24/2021,,,x,x,,x,
ERBITUX(BLA-125084),125084,04/06/2021,,,,x,,x,
ERBITUX(BLA-125084),125084,04/06/2021,,,,x,,x,
ERBITUX(BLA-125084),125084,11/10/2020,,,x,,,,
ERBITUX(BLA-125084),125084,04/23/2019,,,,x,,,
ERBITUX(BLA-125084),125084,06/05/2018,x,,x,x,,x,x
ERBITUX(BLA-125084),125084,05/03/2018,,,x,x,,x,x
ERBITUX(BLA-125084),125084,10/11/2016,,,,x,,,
ERELZI(BLA-761042),761042,11/10/2022,,,x,x,,,x
ERELZI(BLA-761042),761042,06/11/2020,,,,x,,x,
ERELZI(BLA-761042),761042,10/18/2019,,,x,x,x,x,x
ERELZI(BLA-761042),761042,01/26/2018,,,x,x,,x,x
ERIVEDGE(NDA-203388),203388,03/27/2023,,,x,x,,,x
ERIVEDGE(NDA-203388),203388,07/31/2020,,,x,x,,,x
ERIVEDGE(NDA-203388),203388,03/26/2019,,,,x,,,
ERIVEDGE(NDA-203388),203388,01/18/2019,,,x,x,,x,x
ERIVEDGE(NDA-203388),203388,08/01/2017,,,,,,x,
ERIVEDGE(NDA-203388),203388,11/02/2016,,,x,x,,x,x
ERLEADA(NDA-210951),210951,08/02/2024,,,x,x,,,x
ERLEADA(NDA-210951),210951,02/17/2023,,,,,,,x
ERLEADA(NDA-210951),210951,11/08/2022,,,x,x,,,x
ERLEADA(NDA-210951),210951,09/07/2021,,x,,x,,,
ERLEADA(NDA-210951),210951,07/14/2021,,,x,,,x,
ERLEADA(NDA-210951),210951,11/20/2020,,,x,x,,,x
ERLEADA(NDA-210951),210951,09/01/2020,,,,x,,,
ERLEADA(NDA-210951),210951,07/10/2020,,,,x,,,x
ERLEADA(NDA-210951),210951,09/17/2019,,,x,x,,x,x
ERTACZO(NDA-021385),021385,12/17/2020,,,,,,x,x
ERYC(NDA-050536),050536,04/23/2018,,x,,,,,
ERYPED(NDA-050207),050207,04/23/2018,,x,x,,x,,
ERYTHROCIN(NDA-050609),050609,11/05/2019,,x,x,,,,
ERYTHROCIN(NDA-050609),050609,04/23/2018,,x,,,,,
ESBRIET(NDA-022535),022535,02/24/2023,,,x,x,,,x
ESBRIET(NDA-022535),022535,07/31/2019,,,x,x,,,
ESBRIET(NDA-022535),022535,01/11/2017,,,x,,,x,
ESBRIET(NDA-208780),208780,02/24/2023,,,x,x,,,x
ESBRIET(NDA-208780),208780,07/31/2019,,,x,x,,,
ESKATA(NDA-209305),209305,02/07/2019,,,,x,,,
ESMOLOL HYDROCHLORIDE DOUBLE STRENGTH IN PLASTIC CONTAINER(NDA-205703),205703,05/02/2024,,x,x,,x,x,x
ESOMEPRAZOLE STRONTIUM(NDA-202342),202342,03/04/2022,,,x,x,,,x
ESOMEPRAZOLE STRONTIUM(NDA-202342),202342,11/27/2020,,x,x,x,,,x
ESOMEPRAZOLE STRONTIUM(NDA-202342),202342,06/07/2018,,,x,x,,,
ESOMEPRAZOLE STRONTIUM(NDA-202342),202342,10/24/2016,,,x,x,,,x
ESTRADERM(NDA-019081),019081,11/01/2017,,,x,,,,
ESTRASORB(NDA-021371),021371,09/10/2024,x,,x,,,x,
ESTRASORB(NDA-021371),021371,02/15/2024,,,x,,,,
ESTRASORB(NDA-021371),021371,11/01/2017,,,x,,,,
ESTRING(NDA-020472),020472,02/15/2024,,,x,,,,
ESTRING(NDA-020472),020472,11/01/2017,,,x,,,,
ESTROGEL(NDA-021166),021166,02/15/2024,,,x,,,,
ESTROGEL(NDA-021166),021166,08/01/2023,,,,,,,x
ESTROGEL(NDA-021166),021166,11/30/2021,x,x,x,,x,x,x
ESTROGEL(NDA-021166),021166,11/01/2017,,,x,,,,x
ESTROSTEP 21(NDA-020130),020130,10/10/2017,,,x,,,,
ESTROSTEP FE(NDA-020130),020130,04/29/2022,,x,x,x,,,x
ESTROSTEP FE(NDA-020130),020130,07/14/2021,x,x,x,x,x,,
ESTROSTEP FE(NDA-020130),020130,10/10/2017,,,x,,,,
ESTROSTEP FE(NDA-020130),020130,08/09/2017,,x,x,,,,x
ETHYOL(NDA-020221),020221,07/25/2019,,,x,x,,x,x
ETHYOL(NDA-020221),020221,05/25/2017,,,x,x,,,
ETHYOL(NDA-020221),020221,12/15/2016,,,,x,,,
ETICOVO(BLA-761066),761066,05/03/2024,,x,x,x,,x,x
ETOPOPHOS PRESERVATIVE FREE(NDA-020457),020457,05/02/2019,,,,x,,,
ETOPOPHOS PRESERVATIVE FREE(NDA-020457),020457,11/09/2016,,,,,,x,
EUCRISA(NDA-207695),207695,04/03/2023,,,,x,,x,
EUCRISA(NDA-207695),207695,03/23/2020,,,,x,,x,x
EUCRISA(NDA-207695),207695,10/16/2017,,,,,,x,
EVAMIST(NDA-022014),022014,02/15/2024,,,x,,,,x
EVAMIST(NDA-022014),022014,08/03/2023,x,,x,,,x,x
EVAMIST(NDA-022014),022014,11/01/2017,,,x,,,,x
EVEKEO ODT(NDA-209905),209905,10/13/2023,x,,x,x,,,x
EVEKEO ODT(NDA-209905),209905,02/25/2022,,,,x,,,
EVEKEO ODT(NDA-209905),209905,04/16/2021,,,,,,x,
EVENITY(BLA-761062),761062,12/20/2019,,,,,,x,x
EVISTA(NDA-020815),020815,06/27/2018,,,x,x,,x,x
EVKEEZA(BLA-761181),761181,03/21/2023,,,x,x,,x,x
EVOCLIN(NDA-050801),050801,04/17/2018,,,,,,x,
EVOMELA(NDA-207155),207155,08/09/2021,,,x,,,x,x
EVOTAZ(NDA-206353),206353,05/12/2023,,,,,x,,
EVOTAZ(NDA-206353),206353,07/31/2020,,,x,x,,x,x
EVOTAZ(NDA-206353),206353,04/22/2020,,x,x,,x,x,x
EVOTAZ(NDA-206353),206353,04/18/2018,,x,x,x,x,,x
EVOTAZ(NDA-206353),206353,01/27/2017,,x,x,x,,x,x
EVOTAZ(NDA-206353),206353,07/01/2016,,x,x,,x,,x
EVRYSDI(NDA-213535),213535,09/17/2024,,,,x,,,
EVRYSDI(NDA-213535),213535,03/24/2023,,,,,,x,x
EVRYSDI(NDA-213535),213535,05/27/2022,,,,x,,,
EVRYSDI(NDA-213535),213535,05/27/2022,,,,x,,x,x
EVRYSDI(NDA-213535),213535,04/30/2021,,,,,,x,
EXALGO(NDA-021217),021217,10/07/2019,,,x,,x,,x
EXALGO(NDA-021217),021217,09/18/2018,x,,x,,,,
EXALGO(NDA-021217),021217,12/16/2016,x,x,x,x,x,x,x
EXCEDRIN,020802,11/03/2021,,,x,,,,
EXCEDRIN,020802,01/02/2018,,,x,,,,
EXCEDRIN,020802,10/12/2017,,,x,,,,
EXELON(NDA-020823),020823,12/18/2018,,,,,,x,x
EXELON(NDA-020823),020823,11/02/2016,,,,x,,,
EXELON(NDA-021025),021025,12/18/2018,,,,,,x,x
EXELON(NDA-021025),021025,11/02/2016,,,,x,,,
EXELON(NDA-022083),022083,05/08/2024,,,,x,,,
EXELON(NDA-022083),022083,12/18/2018,,,,,,x,x
EXELON(NDA-022083),022083,11/02/2016,,,,x,,,
EXFORGE(NDA-021990),021990,06/12/2019,,,x,x,x,x,x
EXFORGE HCT(NDA-022314),022314,08/20/2020,,,,x,,,x
EXFORGE HCT(NDA-022314),022314,06/12/2019,,,x,x,x,x,x
EXIDINE(NDA-019125),019125,09/14/2017,,,x,,,,
EXIDINE(NDA-019127),019127,09/14/2017,,,x,,,,
EXIDINE(NDA-019422),019422,09/15/2017,,,x,,,,
EXJADE(NDA-021882),021882,07/23/2020,,,x,x,,x,x
EXJADE(NDA-021882),021882,07/24/2019,,,,x,x,x,x
EXJADE(NDA-021882),021882,05/24/2019,,,,,,x,
EXJADE(NDA-021882),021882,12/12/2018,,x,,x,,x,x
EXJADE(NDA-021882),021882,12/12/2018,,x,,x,x,,x
EXJADE(NDA-021882),021882,05/11/2018,x,x,x,x,,x,x
EXJADE(NDA-021882),021882,02/16/2018,,,x,x,,,
EXJADE(NDA-021882),021882,08/12/2016,,,x,x,,,
EXKIVITY(NDA-215310),215310,09/15/2023,,,x,x,,x,x
EXONDYS 51(NDA-206488),206488,01/18/2022,,,x,x,,,x
EXONDYS 51(NDA-206488),206488,10/11/2018,,,,,,x,
EXONDYS 51(NDA-206488),206488,02/08/2018,,,x,x,,,x
EXPAREL(NDA-022496),022496,11/09/2023,,x,x,x,,x,
EXPAREL(NDA-022496),022496,03/22/2021,,,x,x,,x,
EXPAREL(NDA-022496),022496,11/02/2018,,,x,,x,,x
EXPAREL(NDA-022496),022496,04/06/2018,,,x,x,x,x,x
EXSERVAN(NDA-212640),212640,05/11/2020,,,,x,,,
EXTINA(NDA-021738),021738,06/20/2018,,,,x,,x,x
EXTRANEAL(NDA-021321),021321,04/22/2024,,x,,x,,x,
EXTRANEAL(NDA-021321),021321,12/04/2019,,,x,,,,
EXTRANEAL(NDA-021321),021321,12/16/2016,,,x,x,,,x
EYLEA(BLA-125387),125387,10/10/2024,,,,x,,,
EYLEA(BLA-125387),125387,12/14/2023,,,x,x,,,x
EYLEA(BLA-125387),125387,02/08/2023,,,x,x,,x,x
EYLEA(BLA-125387),125387,05/13/2019,,,,x,,,
EYLEA(BLA-125387),125387,08/16/2018,,,x,x,,,
EYLEA(BLA-125387),125387,05/26/2017,,,,,,x,
EYLEA(BLA-125387),125387,10/24/2016,,x,,x,,,
